word_id,sentence_id,sentence,context,word,label,special_tags,is_correct,corrected_label,corrected_special_tags,is_dirty,notes
24320,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",Mygz tinupad ang,Mygz,UNK,NE,TRUE,,,,
24321,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",Mygz tinupad ang munting,tinupad,FIL,,TRUE,,,,
24322,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",Mygz tinupad ang munting hiling,ang,FIL,,TRUE,,,,
24323,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",tinupad ang munting hiling ni,munting,FIL,,TRUE,,,,
24324,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",ang munting hiling ni Mura,hiling,FIL,,TRUE,,,,
24325,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",munting hiling ni Mura Samantala,ni,FIL,,TRUE,,,,
24326,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .","hiling ni Mura Samantala ,",Mura,UNK,NE,TRUE,,,,
24327,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .","ni Mura Samantala , todo",Samantala,FIL,,TRUE,,,,
24328,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .","Mura Samantala , todo rin",",",SYM,,TRUE,,,,
24329,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .","Samantala , todo rin ang",todo,FIL,,TRUE,,,,
24330,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",", todo rin ang pasasalamat",rin,FIL,,TRUE,,,,
24331,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",todo rin ang pasasalamat si,ang,FIL,,TRUE,,,,
24332,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",rin ang pasasalamat si Mygz,pasasalamat,FIL,,TRUE,,,,
24333,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",ang pasasalamat si Mygz sa,si,FIL,,TRUE,,,,
24334,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",pasasalamat si Mygz sa lahat,Mygz,UNK,NE,TRUE,,,,
24335,1508,"Mygz tinupad ang munting hiling ni Mura Samantala , todo rin ang pasasalamat si Mygz sa lahat ng nagmamahal at sumuporta sa YouTube channel nila ni Mahal na naging daan para mas lumalim pa ang kanilang espesyal na relasyon .",si Mygz sa lahat ng,sa,FIL,,TRUE,,,,
